Manually_curated_celltype,mean,std,median,count,q1,q3,f_score
pDC,0.9628783756149732,0.031719242362001125,0.97057315,374,0.9639220175,0.9743714,0.9198423127463864
DC1,0.831735011372549,0.058858272495491595,0.8583039,51,0.81352713,0.87207505,0.9030837004405288
Intestinal macrophages,0.752447626,0.030929795735225626,0.7376498,5,0.73226357,0.7656182,0.7692307692307693
ILC3,0.572503089032258,0.3620897793901895,0.6986292,31,0.61543265,0.71894495,0.5454545454545454
Tnaive/CM_CD8,0.4994391926804452,0.3730800441290639,0.646992,629,0.549046,0.6805649,0.7567091948966124
Erythroid,0.5481834601409201,0.18359675938414843,0.62797356,413,0.48960847,0.6713014,0.9289176090468496
NK_CD16+,0.5262638311575497,0.23425000685238456,0.607109905,7394,0.47682391749999997,0.6704557849999999,0.8043006866642574
Nonclassical monocytes,0.4742131787860069,0.28802265672400673,0.6029312499999999,586,0.4597951225,0.63600905,0.7147562582345192
NK_CD56bright_CD16-,0.5549964471373798,0.16886096492805422,0.591882075,832,0.5242044625000001,0.6482174225,0.6701940035273368
Cycling T&NK,0.41914523213120297,0.37033704493448233,0.5868541,798,0.3507085875,0.66256848,0.6790916880891174
Cycling,0.34188405707648584,0.4517467569172884,0.5721580749999999,848,0.29708632,0.608697975,0.7633863965267728
MAIT,0.3468544858571429,0.4286005188986203,0.5695401,427,0.2947172,0.61827248,0.5508021390374331
Tnaive/CM_CD4,0.46550634573180955,0.25710270072206676,0.569282625,4410,0.409147595,0.6348909374999999,0.6877323420074349
Plasmablasts,0.4925645927771429,0.2057792099235576,0.5660973,175,0.47435996,0.61244158,0.7952286282306164
Megakaryocytes,0.2527204000148148,0.4021212497472966,0.548909925,108,-0.0977635175,0.6033392275,0.881578947368421
Tem/emra_CD8,0.37744236815256876,0.325519256326485,0.5488042,6684,0.222794875,0.6093438625,0.7794892766266812
Pro-B,0.3567794987837838,0.33518300115895044,0.5263446,37,0.2773421,0.57760966,0.8095238095238095
Tgd_CRTAM+,0.4025605098955837,0.2631599798422434,0.49337921,1028,0.320147415,0.59084259,0.5587392550143266
Trm_gut_CD8,0.2967628292222222,0.3464229626219517,0.4432584,63,0.27244733499999996,0.52207983,0.303030303030303
Mast cells,0.048995916511627914,0.5878105082913858,0.3913748,86,-0.876106975,0.42042203,0.9064327485380116
Erythrophagocytic macrophages,0.12557065397222222,0.442203024040766,0.38824592,36,-0.05755290525000001,0.4193483625,0.7386363636363636
Classical monocytes,0.1856459928810175,0.42648325964623895,0.38367307,5032,0.010700545499999999,0.50079054,0.873240723816487
Intermediate macrophages,0.29689661652,0.23579713679870923,0.36023656,25,0.22149497,0.44631302,0.5737704918032787
Trm/em_CD8,0.25773858414450534,0.29527901469431583,0.3566602,2895,0.137353555,0.47646217,0.689247402652251
Tregs,0.18327929295209194,0.32533997194701164,0.3425057,435,0.07021050000000001,0.423440005,0.3256704980842911
Pre-B,0.2433210486416667,0.2023661866993002,0.32592582999999997,72,0.14019313500000002,0.3984423225,0.8035714285714286
Plasma cells,0.16853807106778243,0.16054493988219964,0.20727618,239,0.0969626875,0.28321975499999996,0.7862679955703211
Memory B cells,0.07112195493930921,0.24850615658589897,0.17314922500000002,608,-0.1694940175,0.29107707,0.6305803571428571
ABCs,0.004418592877922082,0.28640070738475726,0.12793992,77,-0.20920445,0.2588894,0.4325259515570934
Trm_Th1/Th17,0.011103102161676648,0.3650654325792133,0.11690861,167,-0.28174891,0.32273355000000004,0.1890034364261168
Tnaive/CM_CD4_activated,0.02881143746827778,0.2756029779762474,0.10661594999999999,180,-0.0379921205,0.22874214,0.4545454545454545
Naive B cells,0.006405570879712417,0.3126771896162762,0.08386783,765,-0.24391352,0.2946802,0.8419047619047619
Tfh,-0.03023987990861423,0.20906185558966744,-0.0055340277,267,-0.16959616,0.15981758000000001,0.1333333333333333
Teffector/EM_CD4,-0.08303099147757148,0.230162058806611,-0.06972113,2637,-0.22502886,0.12078862,0.4140265601944276
Alveolar macrophages,-0.29318600389473687,0.38527635821735884,-0.3165546,19,-0.6258626650000001,0.102366033,0.5714285714285714
MNP/B doublets,-0.4631893,0.14726174661724986,-0.42154944,9,-0.46249065,-0.3751928,0.3846153846153846
Progenitor,-0.5945962399085365,0.20829676326353977,-0.52893035,1312,-0.8260356999999999,-0.392824395,0.739329268292683
DC2,-0.5570656362416108,0.1232008358978627,-0.5458764,149,-0.6392772,-0.47324854,0.738498789346247
MNP/T doublets,-0.685254148367347,0.1397227266894645,-0.64722514,245,-0.8139133,-0.57411385,0.1957585644371941
T_CD4/CD8,-0.6510142910963456,0.13208015041346172,-0.687203,301,-0.75348574,-0.57006073,0.2473498233215547
GC_B (I),-0.72228372125,0.1296111547457219,-0.7029291799999999,8,-0.8606309625,-0.6066749075,0.4166666666666667
T/B doublets,-0.8593418892,0.056097349440895554,-0.864689775,50,-0.90217453,-0.821843925,0.1282051282051282
