Detailed_Cell_Type,mean_silhouette,std_silhouette,median_silhouette,count
Activated_CD4,0.22710767593908956,0.3319760550137474,0.38131012809886494,149
Activated_CD8,-0.27112756875512195,0.15289866063163046,-0.2648722766683418,1250
Arterial,-0.03581146335022876,0.3368128947002304,-0.012982989863391841,610
Arterial capillary,0.6531556781203202,0.11148470747671405,0.6855879330019836,263
Basal,0.4378537317483748,0.2403407218701989,0.5211754217938571,2603
Bmem,0.391182917400764,0.25409213590982527,0.47956733207646385,340
cDC1,0.6535915425833491,0.1786078907881336,0.7351681015200593,63
Chief,0.558075497909649,0.13338262863498243,0.6001485001636049,732
Contamination,0.4077272667002284,0.3308976697232862,0.5546102265860046,220
Enterocytes,0.3541054307699884,0.22747105539141516,0.4314647396169146,6441
Enterocytes_Intermediate,0.21447267088270028,0.2989829228968288,0.2917397648016037,4038
Enteroendocrine_CHGA,0.6251346568042844,0.18576071841162728,0.6761062346989137,648
Enteroendocrine_GAST,0.6592648777809612,0.06495689367949956,0.639311928873171,5
Enteroendocrine_GHRL,0.6652168026177688,0.14565747905423604,0.7034169271614521,629
Erythrocyte,0.7927648773774664,0.16882553889713148,0.8239042594037681,121
Foveolar_Differentiated,0.387926857881197,0.22990990537609354,0.44890619898235085,2348
Foveolar_Intermediate,0.2108134914650754,0.24340088681046293,0.26245423146258046,2855
gdT,-0.2806339077527752,0.1722269817417624,-0.2386727178469571,499
Goblet,0.24667170551069081,0.20132805349579444,0.2681619696918184,2990
IgA1_IGKappa,0.6480325383664712,0.16160367672671475,0.6943531570266871,476
IgA1_IGLambda,0.03257544617872923,0.25306574543147403,0.1005601824648583,369
IgA2High_IGKappa,0.68915577332792,0.2587355652557179,0.785696961219281,7
IgG_IGM_IGKappa,0.4924520427676695,0.2878174271239009,0.607345493584532,165
IgG_IGM_IGLambda,0.8436005599379145,0.06330337059472126,0.8666267829311362,32
Intermediate,0.449589313037207,0.15843749097425072,0.5001629067976014,3887
Intestinal_Undifferentiated,0.40592288417354755,0.17844219913249318,0.4402813043026402,3869
Macrophages,0.2282921045356041,0.3609198878830622,0.39396689719976796,298
Macrophages_Activated,0.10064352607833518,0.2558856312725753,0.1744828954377815,156
Mast_Cells,0.3699052528816448,0.25132885793495197,0.4680067557033745,120
Mast_Cells_Activated,0.6999582653664147,0.14400793753212568,0.7513854178061599,69
Monocytes,0.4269745300373056,0.26940122640132574,0.5537604433917204,61
Naïve,0.1441114355110001,0.3076643858245906,0.24396832599664647,483
Naïve_FCMR,0.4276307923544968,0.1761409756505582,0.48226591131221663,212
Neck-Cells,0.4231894245231872,0.20701580755437324,0.47971199361492356,1312
NK-cells_Gastric,-0.12310107172251973,0.1713054210877228,-0.09144748239019795,88
NK-cells_Intestine,0.30586275697841164,0.24460455940885917,0.39800174345154943,185
Parietal,0.7097275044816826,0.19368691936617188,0.7458734810878369,318
pDC,-0.17404515108066393,0.23333915327808769,-0.12979904810158396,66
S1,0.5637378315096648,0.2991986597186958,0.6915870796614753,850
S2,0.5150711275192598,0.2215155625649501,0.5729514667637767,116
S3,0.4368989110819059,0.2739462351624997,0.5639578336626438,1386
SMG,0.689426349448945,0.07632844853195085,0.7132483494393038,970
Superficial,0.13796091152766313,0.23403533843348875,0.23753409917226442,5048
Suprabasal,0.3462689389782587,0.24177941117196883,0.4174886068144569,5692
Th1_Th17_TReg,-0.06538727135238033,0.24400819364089515,-0.0055822149418135476,661
Tmem,-0.0393264151738708,0.1980596787268811,0.020337210421430656,237
Venous,0.19066405497882966,0.36487867501189075,0.3423034051045995,903
