cell_type,mean_silhouette,std_silhouette,median_silhouette,count
fibroblast,0.62213486,0.16520907,0.67850405,59341
mesothelial cell,0.46176648,0.32925516,0.5930098,718
mast cell,0.74601084,0.26270813,0.81338567,1543
endothelial cell,-0.24984634,0.17849948,-0.29403567,13263
smooth muscle cell,0.5422539,0.33131397,0.652913,16242
macrophage,0.20212959,0.3433304,0.35959804,14640
B cell,-0.3255461,0.24675739,-0.21780968,1195
dendritic cell,-0.6642325,0.1310688,-0.6112134,814
monocyte,-0.4078538,0.17351516,-0.40087643,1684
natural killer cell,0.3324501,0.21686071,0.42914099,3628
pericyte,0.5340968,0.29359853,0.63501406,77856
"CD8-positive, alpha-beta cytotoxic T cell",0.08056557,0.2694251,0.1881932,2956
mature NK T cell,-0.18335988,0.24500698,-0.19227609,1463
"activated CD4-positive, alpha-beta T cell",0.48064557,0.2551723,0.5735007,1047
"activated CD8-positive, alpha-beta T cell",-0.29398537,0.1899912,-0.26511702,3001
"CD4-positive, alpha-beta cytotoxic T cell",-0.30975896,0.21039627,-0.29511204,3113
CD14-positive monocyte,0.3147529,0.30613452,0.47545198,1883
regular atrial cardiac myocyte,0.49496943,0.21681747,0.5586257,23483
regular ventricular cardiac myocyte,0.37440744,0.27740505,0.48909694,125289
endothelial cell of lymphatic vessel,0.34428078,0.3119509,0.48166034,754
capillary endothelial cell,0.1290838,0.25739565,0.22707516,57759
neural cell,0.6575601,0.22383986,0.7187272,3961
"CD14-positive, CD16-positive monocyte",-0.02362942,0.26762068,0.0139810145,3278
vein endothelial cell,0.17675273,0.36174998,0.36461222,8486
epicardial adipocyte,0.7076866,0.21978322,0.7727591,3799
endothelial cell of artery,0.25116512,0.3556078,0.4177194,20317
unknown,-0.80899364,0.089903995,-0.81353027,34621
