celltype_l2,mean_silhouette,std_silhouette,median_silhouette,count
ATL,0.7463343222541869,0.12609230905946128,0.7778472085833923,190
Ascending Vasa Recta,0.8581659632749369,0.04076084991838972,0.8677204994396883,90
CD14 Monocyte,0.03005139258188741,0.431542811721079,0.3011769948417743,33
CD16 Monocyte,0.8394697548980874,0.14990489726846887,0.8872201937842732,50
CNT,0.34982543003945404,0.2910427452799781,0.4483007254872201,1089
CNT Injured,0.7213531194841225,0.22088151348820348,0.7926269141571306,16
DCT1,0.48042393241704306,0.2994318480441605,0.6349647183258142,1057
DCT2,0.36870751591991124,0.28349909257942024,0.4656644794905419,720
DCT Injured,0.3682420973767496,0.37263009584554296,0.5452577818138733,40
DTL,0.5207708154603827,0.20282885224442745,0.6107661624271329,91
Descending Vasa Recta,0.640276306314183,0.15068080300049305,0.7100560387185124,24
Effector Tc Cell,0.44206565780063256,0.22565253598026982,0.5116538541830212,83
Effector Th Cell,0.3177101986878535,0.20184530805225626,0.38474942293574765,89
Endothelia Glomerular,0.7539926363625636,0.06683019460478838,0.7718975282228722,76
Fibroblast,0.49379874560394504,0.2573066512075039,0.611481514232722,139
IC-A Injured,0.7559424999232458,0.11910953885917087,0.7880714403778847,11
IC-B,0.9396758453895906,0.011721255721350441,0.9420890027969693,442
JG Cell,-0.07683923795110231,0.06270168318782034,-0.07532414964056353,22
MAIT,0.35540730839651336,0.25940814422174413,0.4591164194944335,16
Macrophage Activated,0.10323691419488627,0.24183318238169868,0.1542411476440974,32
Macrophage HIF1A+,-0.1948998114970321,0.2970343899011523,-0.16532766442824917,6
Macrophage Resident,0.11645439911139989,0.27364695970492714,0.20202697269797817,279
Macula Densa,0.8765378745179884,0.0346515904472666,0.8884882496014463,77
Mast Cell,0.975619552817427,0.007429447742274518,0.9778983156794772,13
Memory B Cell,0.3390693432164004,0.15529017512662,0.36989392754440653,41
Monocyte Transitioning,-0.3288557858316412,0.2525306180141686,-0.362703606712122,18
Myofibroblast,-0.15371533185260447,0.38003152691500924,-0.043155664606282805,28
NK CD56bright,0.5490943768120248,0.3057683450266925,0.6472930634191605,12
NK CD56dim,0.7513007086842187,0.11634729269610204,0.8094199244313002,173
NKT Cell,0.5842240313567437,0.19150418542349978,0.6446672937330044,67
Naïve B Cell,0.8875415690565174,0.04303857716035581,0.898124603598663,8
Naïve Tc Cell,0.30720495942654147,0.30761184378826617,0.42511093743203743,42
Naïve Th Cell,0.20087719503858378,0.2360520759965739,0.2100221178647321,91
PEC,0.8283015694144995,0.17494701870045953,0.8603170629979391,211
PT Inflammatory,0.4476533297078706,0.10932906561888012,0.47416693978026275,63
PT Injured,-0.1301096154669549,0.23721410567742562,-0.13274501231005476,511
PT S1,0.4544064898200102,0.25548981063143483,0.5588057063011104,1222
PT S2,0.4281110855495802,0.24001725395582946,0.5054021646221551,770
PT S3,0.6414285579051677,0.1891599712337305,0.7238089684899881,647
Pericyte,0.5707177415123346,0.3083840893752774,0.6951163529196437,34
Peritubular Capillary Endothelia,0.39119278586924183,0.2610168446978707,0.45474361993367807,501
Plasma Cell,0.972073866427597,0.008238171147040936,0.9753665213941902,10
Podocyte,0.972659481243421,0.010902164072925989,0.9774008207249147,35
TAL Inflammatory,0.5392548455927815,0.10455261571907892,0.5729874136403735,87
TAL Injured,-0.07683673097815624,0.33341428340586,0.007296316631376888,137
Treg,0.8319353165559883,0.0774032157960912,0.8717177480147841,15
cDC2,0.62187601186637,0.1408928107621651,0.7035914971859374,15
cIC-A,0.5965344048923307,0.36374978275313646,0.7483472073889132,418
cPC,0.2169148111887379,0.28236022403048777,0.3775495374781134,468
cTAL1,0.433531275613666,0.27543630505394817,0.5732825370710393,1246
cTAL2,0.3397953805872071,0.3163487444816342,0.4656116012538283,1950
mIC-A,0.5993929590124562,0.18679326467670299,0.6656990424926628,98
mPC,0.468301055963012,0.1936841943178263,0.53775444436167,210
mTAL,0.5209922119502798,0.15323606913533244,0.5664394568068188,1309
pDC,0.9143818481305303,0.004027614552310767,0.9164402051227397,5
vSMC,-0.030396042310153987,0.04673989413958637,-0.03545191417019663,5
