clusterName,NSForest_markers,f_score
P-Hepato2,"['CALR', 'MT-ND6', 'MT-ATP8']",0.7101902528016679
Chol-Doublet,"['KCNJ15', 'DCDC2', 'ITGB8']",0.1900070372976777
Prolif,"['MELK', 'NCAPG']",0.8092105263157895
I-Hepato,"['ENSG00000260372', 'ENSG00000228918']",0.0702576112412178
P-Hepato,['HAL'],0.6161930529707074
Hepato-Doublet,"['KCNN2', 'LINC00862', 'MIR193BHG', 'MAPT', 'RNF125']",0.2384291725105189
C-Hepato,"['PPP1R1C', 'ALAS1']",0.3849631129755533
Tcell-Doublet,"['ENSG00000284418', 'SLFN12L', 'CD96']",0.5405405405405406
Kupffer-Doublet,"['GADD45G', 'SLC11A1', 'TBXAS1']",0.509915014164306
Stellate-Doublet,"['STEAP4', 'DACH1']",0.2654320987654321
cvLSEC-Doublet,"['CRHBP', 'DNASE1L3']",0.1674356303021283
CholMucus,['ERN2'],0.7894736842105263
Chol,"['RALYL', 'DCDC2']",0.8256227758007118
Chol--Stellate-Doublet,['FRMPD4'],0.5
aStellate,"['LAMC3', 'NAV3']",0.696
Stellate,"['COL25A1', 'ADAMTSL1']",0.8229352346999406
Fibroblast,"['NTRK3', 'EBF1']",0.5859375
VSMC,['MMRN1'],0.7547169811320755
ppLSEC,['SLCO2A1'],0.7395925597874224
cvEndo,"['RSPO3', 'KLF2']",0.6300813008130082
cvLSEC,"['STAB2', 'DGKG']",0.8838757396449705
cvLSEC--Mac,"['IL1R2', 'NPR1']",0.5769230769230769
Kupffer,"['NDST3', 'MPPED2']",0.7917261055634808
Monocyte,"['SYK', 'SLC11A1']",0.7095709570957096
AntiB,['FCRL5'],0.68
CD4T,['THEMIS'],0.8659217877094972
lrNK,['KLRF1'],0.8223684210526315
