cell_label,mean,std,median,count,q1,q3,f_score
immune_stellates,0.5688161342660565,0.47360376797122805,0.7459481139886566,195,0.7153222990624569,0.7571776763213347,0.7018498367791077
stellates,0.6083672477189833,0.19207745340333973,0.663331201698318,602,0.6088937807643624,0.6855045035282351,0.8253397282174261
acinar,0.5761600262186368,0.25272689543006804,0.6627502373994406,6978,0.5635688492775535,0.7033332995748867,0.9659255399224131
endothelial,0.3365211547531795,0.3474358304988891,0.49401947618171693,1016,0.12308133307474645,0.6043698925019874,0.7896064581231079
epsilon,0.29853730971620207,0.24266189467099733,0.4436783629383869,152,0.23620569034656547,0.4682523337756511,0.6357388316151202
duct_major,0.28883205693958813,0.23528477059585715,0.4035913853150144,335,0.0668877418043472,0.4848092354761053,0.5511811023622047
acinar_minor_mhcclassII,0.12279313332225958,0.32853906802463034,0.21041616594067308,144,-0.023109405801826573,0.37469702754693507,0.4107142857142857
alpha,0.06998208092600607,0.2527661301857323,0.1627021248885373,8826,-0.12494009931993705,0.27572975146084683,0.8510289862983788
delta,-0.09050887279705,0.19769984353771777,-0.0524667454422835,957,-0.2475247037380441,0.0495853047863595,0.7387914230019493
pp,-0.30883103058718525,0.13837982855997694,-0.3016860597214743,373,-0.3735002123561131,-0.2055751171980318,0.978082191780822
beta_major,-0.29016245791433265,0.2307207793270372,-0.3371494822907548,7287,-0.4548913440795769,-0.03097848048356185,0.7154777545005859
duct_acinar_related,-0.2616490460634625,0.284745059225549,-0.3680080549213674,1522,-0.46423486496528144,0.047669911929936,0.657439446366782
beta_minor,-0.3646102829930539,0.31503073216751437,-0.407756937695978,1372,-0.7062358294711004,-0.00737187926262,0.177001953125
hybrid,-0.5396014621611417,0.23359075071153618,-0.6190754864966446,2564,-0.7470283380622356,-0.26809158276724715,0.7981968546637744
