cell_type_fine,mean,std,median,count,q1,q3,f_score
Mast cells,0.8738242212577892,0.16620527453070294,0.8953277637346937,555,0.8759866334081168,0.906687418370042,0.8810126582278481
Neuronal cells,0.8229691518180938,0.22191290010525053,0.856649719824033,331,0.8421606502540135,0.8716258203301447,0.7928505957836847
Pericytes,0.7901743228608493,0.20039943747423292,0.8480535756630052,160,0.8141543005728265,0.8592915110062223,0.6365740740740741
Airway ciliated,0.8137523181127245,0.09124157063611552,0.8375365832050901,1150,0.8123706383075474,0.8539108626651123,0.9293456443195504
Capillary endothelial cells,0.706263396891926,0.20279796271978734,0.7727061711416793,581,0.7143914822490385,0.8004667374643916,0.5640612409347301
Arterial endothelial cells,0.7090880481842566,0.17183016346592103,0.7669316475436067,413,0.7175234085631933,0.7867271326820503,0.7660521296884933
Plasma cells,0.6929774143474697,0.17792816054520677,0.7578175335891502,880,0.6869375964830946,0.7901494139121596,0.7584745762711864
Pulmonary venous endothelial cells,0.6268989343463602,0.16067229391408996,0.6950303735119475,149,0.5845318146595627,0.7238037449506697,0.5138339920948617
Alveolar FB,0.6028519952478669,0.22248465711582596,0.6895304640528142,1940,0.5976056962295418,0.7226764911347503,0.6888849177984274
Adventitial FB,0.593811047517421,0.24132696584801777,0.6881786115718503,923,0.5780558723342732,0.72499730208113,0.6200909466721786
Monocytes,0.5685332779978872,0.21270769773847434,0.6578117568978687,652,0.5256952464689392,0.6955605645349417,0.4697452229299363
Airway basal,0.5545583870058604,0.24146342647104202,0.6467278452823051,169,0.5694955229949044,0.6740250765915486,0.6608478802992519
Alveolar macrophages,0.532461399901703,0.24058841610081785,0.6279576519287805,1645,0.529479334095412,0.6637000336488614,0.8094475580464372
NK cells,0.5023006149495824,0.27255760501165277,0.6261505915168833,727,0.4775708320151584,0.6542728413991468,0.5337965887555275
AT1,0.4781117044668041,0.34704388248244944,0.6109725635877595,4939,0.5198355424339476,0.6620238579754281,0.8606856309263311
AT2,0.4964964125356831,0.21938295198074767,0.5785063643661075,6911,0.4373313961629842,0.6378459652450328,0.8782776879419132
Endothelial cells (general),0.4395725962092068,0.22375472710278568,0.5227681667550657,612,0.37578840326309504,0.5917870008253509,0.5420054200542005
B cells,0.4976242592254319,0.11742653759520039,0.5220531389208194,481,0.4689572958355553,0.5634326980146215,0.5230288836846214
Airway smooth muscle,0.24063529675080583,0.45533900463789184,0.4725902248573598,398,0.2241078687517771,0.5346220776629249,0.6323877068557919
Pathological FB,0.3917164216448101,0.24596504729024837,0.4558019595035317,120,0.3152504681442286,0.567138993169285,0.625
Other FB,0.3559500573159725,0.2575887982150518,0.4468161835796993,334,0.19015917087151837,0.5777753436683571,0.3537170263788969
Inflamed endothelial cells,0.14294576489173264,0.4051361430619893,0.3148164447473303,50,-0.012936942476068575,0.43534629559728255,0.1818181818181818
CD8+ T cells,0.16937569892272275,0.29590457581442803,0.2543883545634293,803,-0.013620824003668649,0.4049089972875647,0.3445305770887166
Airway club,0.1034854248280587,0.370253262328282,0.2038415238492283,376,-0.18847614695517198,0.4348151974816564,0.1364628820960698
Monocyte-derived macrophages,0.06402103039840548,0.33923734356948054,0.1925806371631372,2030,-0.14887388253102735,0.34440322378299987,0.6928225576758759
Vascular smooth muscle,-0.06890373691358716,0.38655121235293666,0.104064505116987,129,-0.0964827585778748,0.194698846147918,0.0811992504684572
Cycling epithelial,-0.10781714090910945,0.4125641774397823,0.0901148723758459,192,-0.381878247927971,0.2386496141123588,0.3911042944785276
Dendritic cells,-0.018367772172386408,0.3330204145926118,0.088860425152199,546,-0.28769938999373357,0.28886747830783066,0.4324324324324324
CD4+ T cells,0.015916942485706805,0.18145853112644117,0.056602707773828,2711,-0.11865756419719185,0.17590549049220924,0.6740647792330013
Transitioning MDM,-0.04609406915317458,0.32697072622341034,0.0556117236175637,305,-0.3334962289061864,0.225184172194271,0.3157398680490104
Intermediate pathological FB,-0.0030573055538612526,0.2822765654238499,0.05289815422492685,1246,-0.22914872089713897,0.2262374398599995,0.478606087340097
Tregs,-0.00791061397045573,0.2064248706561702,0.024950198156034498,216,-0.1463384909063009,0.14967152999491448,0.5153508771929824
Airway goblet,-0.057262957799698505,0.18440653118853176,0.000932163203181,1015,-0.208278789401387,0.0934911600085323,0.5641272902603665
Tuft-like,-0.16387670951710492,0.22873422908954108,-0.0751972226425234,41,-0.3516529287243179,0.0427918914485335,0.449438202247191
Mesothelial FB,-0.2645342595732006,0.3052884958449131,-0.08009402505915215,36,-0.4168167962780791,-0.02256830030136765,0.7142857142857143
Cycling NK/T cells,-0.19579365213677974,0.4482554063544281,-0.1145645782718453,635,-0.7108358713871366,0.24133261561081934,0.2865995352439969
Activated B cells,-0.421211589256239,0.15227894604052022,-0.4027028130332215,623,-0.498713938321964,-0.33632159782951,0.5691906005221932
Systemic venous endothelial cells,-0.45155792802253314,0.1680132117654812,-0.4553346598885673,65,-0.5554933441497796,-0.3900674963149829,0.5279503105590062
Airway mucous,-0.5367703146679315,0.14586741586786825,-0.5169293262797475,1049,-0.6275736473714604,-0.4062178291344011,0.4406130268199233
Endothelial cells (other),-0.6273727358213539,0.14451080915479697,-0.5980015079723835,208,-0.7587161419786089,-0.5234208962897535,0.1648773006134969
ECM-high epithelial,-0.7156804654225533,0.11150432991341284,-0.6830192500059185,331,-0.8055365004246327,-0.6237546968253188,0.1874244256348246
