Celltype,mean,std,median,count,q1,q3,f_score
Lymphatic EC,0.9165326238132571,0.012722274869208005,0.9185625440908942,294,0.9066592741502348,0.9259872674012692,0.9732272069464544
Erythrocytes,0.8883916911193929,0.12483813620303573,0.9156428225222417,310,0.8906262925420245,0.9227160336726146,0.9549356223175964
T cells,0.6649100739669859,0.19901705931092292,0.7364872899124287,1281,0.5940690621463532,0.7730534404384043,0.7870742826495039
Macrophages+DC,0.6522735610352827,0.1580124946157887,0.6955633755442463,2228,0.6244034876355344,0.7484371681597384,0.9138366223038092
Vascular EC,0.6494688477642209,0.11163066778204579,0.6647895259190185,1467,0.6066533664244033,0.7126977349704369,0.845082991254685
Mesenchymal fibroblasts,0.5845383189442146,0.24507516313637945,0.6574864636288786,594,0.5878855346122012,0.6886840951877298,0.5738786279683378
Secretory-reticular fibroblasts,0.5316490353344508,0.22710188881848453,0.6279280812212049,1886,0.4882910168434786,0.6713948783809266,0.803979564399032
Pericytes,0.5113625006165368,0.254126665169729,0.5946477327614177,1220,0.49204549180388163,0.6560853458780811,0.8861859252823632
EpSC and undiff. progenitors,0.4798221204496093,0.24706565917876963,0.5926791592323983,1187,0.40060555714048696,0.6294792165884688,0.759592795614722
Secretory-papillary fibroblasts,0.499058804717066,0.24158662791499297,0.5889757913924784,1675,0.45283290641292245,0.641891756096074,0.6321036889332003
Diff. Keratinocytes,0.5292999178084048,0.16086313316116213,0.5720766744455587,1399,0.4837363743337557,0.635839677274354,0.8554311530151247
Pro-inflammatory fibroblasts,0.3098074795846104,0.26148559582847125,0.3511065468593688,1793,0.1895653422518765,0.5164463043249176,0.5856852979155137
Melanocytes,-0.039049604438287346,0.492110280659751,0.3179732393822783,123,-0.6597647833628749,0.33117118856340605,0.9071274298056156
